,média,min,max,desvio padrão,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,29.0
0.8 0.0000,0.23337724550898195,0.19999999999999996,0.2790419161676647,0.014579088559819427,,,,,,0.16296388326786826,0.309449611575861,0.3167090141557637,0.5588116120345124,0.26824053717895197,0.16774988533354163,0.01919674301755287,0.050070718870456166,,,,,,,,,,,,,,,
0.5 0.0000,0.23002394636015325,0.19061302681992343,0.25287356321839083,0.010295566733010492,,,,,0.0866378667875332,0.1817981047752048,0.2904091610614129,0.32485450104724733,0.525929049689519,0.2578687856127465,0.18744439304393284,0.012458982458035698,0.04741898932761861,0.01626611235986236,0.022727272727272728,0.03336802182582625,0.06634460547504026,0.05,,,,,,,,,,
0.8 0.0001,0.23076646706586829,0.18922155688622755,0.27185628742514967,0.015282597295715315,,,,,,0.15055373606960776,0.31746305554371373,0.3029233247841775,0.5657897830943263,0.253862406168192,0.17075891806246557,0.02077093583823182,0.049319877276801684,,,0.1111111111111111,,,,,,,,,,,,
0.5 0.0001,0.22951628352490425,0.20785440613026818,0.25239463601532564,0.009438646857867846,,,,,0.09149237765822514,0.1690948021752924,0.31498961383679414,0.303467131392418,0.5359688936020922,0.2596021329884975,0.18388336117841753,0.013799845346202025,0.0432738516398571,0.02888364683695657,0.020833333333333332,0.037263841384465604,0.04,,,,,,,,,,,
0.8 0.0005,0.23413173652694624,0.17964071856287422,0.27305389221556886,0.01627049831844249,,,,,,0.15170357164972706,0.31943586760225756,0.3157875500571785,0.5553649232235734,0.25572213783456066,0.17683126627320248,0.02215450118989705,0.050044856067520314,,,,,,,,,,,,,,,
0.5 0.0005,0.23007183908045975,0.20545977011494254,0.25526819923371646,0.009813881815631814,,,,,0.05192984105744446,0.15446837191825605,0.33525178295584623,0.28589408761930407,0.5410564809660954,0.2625765249941646,0.17721942471540517,0.010705327145341038,0.047809721491039944,0.022750153733942645,0.017857142857142856,0.03868060492276793,,0.05555555555555555,,,,,,,,,,
0.8 0.0010,0.2345389221556886,0.19880239520958087,0.27544910179640714,0.012818288057735123,,,,,,0.1663592026012143,0.3155387828205407,0.32087990323674814,0.5561765284275959,0.2565460578308551,0.17605925410795245,0.022749665373676176,0.04907306203152713,,,,,,,,,,,,,,,
0.5 0.0010,0.2328400383141763,0.20977011494252873,0.25526819923371646,0.00922894639547837,,,,,0.1075771979528423,0.18059362901712203,0.2977032371312304,0.33537703763233834,0.5187026964946623,0.266612528250715,0.18401649990841765,0.012006697897131597,0.04315125282403328,0.024265260547786206,,0.03520320197044335,,,,,,,,,,,,
