,taxa de acerto
0,0.208557749850389
1,0.22920406941950927
2,0.2289048473967684
3,0.22950329144225015
4,0.22411729503291442
5,0.21573907839616996
6,0.22082585278276481
7,0.2324955116696589
8,0.234590065828845
9,0.21244763614602036
10,0.2333931777378815
11,0.234590065828845
12,0.22142429682824655
13,0.22052663076002393
14,0.2232196289646918
15,0.2277079593058049
16,0.2175344105326152
17,0.2333931777378815
18,0.21723518850987433
19,0.21932974266906044
20,0.22292040694195092
21,0.22800718132854578
22,0.22950329144225015
23,0.21932974266906044
24,0.21244763614602036
25,0.2127468581687612
26,0.2336923997606224
27,0.23219628964691802
28,0.23429084380610413
29,0.22292040694195092
30,0.23728306403351287
31,0.2139437462597247
32,0.21962896469180132
33,0.2211250748055057
34,0.1980849790544584
35,0.22292040694195092
36,0.2277079593058049
37,0.22142429682824655
38,0.22471573907839618
39,0.20556552962298025
40,0.23010173548773188
41,0.20676241771394374
42,0.23040095751047276
43,0.21095152603231598
44,0.1992818671454219
45,0.2256134051466188
46,0.22980251346499103
47,0.21783363255535607
48,0.2324955116696589
49,0.23608617594254938
50,0.2220227408737283
51,0.21364452423698385
52,0.2139437462597247
53,0.22830640335128666
54,0.22262118491921004
55,0.22292040694195092
56,0.22262118491921004
57,0.21484141232794735
58,0.2175344105326152
59,0.20347097546379414
60,0.23010173548773188
61,0.2175344105326152
62,0.2336923997606224
63,0.2471573907839617
64,0.2333931777378815
65,0.2232196289646918
66,0.20885697187312985
67,0.24326750448833034
68,0.21663674446439257
69,0.22351885098743268
70,0.2336923997606224
71,0.2348892878515859
72,0.21364452423698385
73,0.2211250748055057
74,0.2175344105326152
75,0.22262118491921004
76,0.2378815080789946
77,0.23040095751047276
78,0.21543985637342908
79,0.23159784560143626
80,0.22052663076002393
81,0.2106523040095751
82,0.23040095751047276
83,0.2127468581687612
84,0.22471573907839618
85,0.2211250748055057
86,0.2139437462597247
87,0.2253141831238779
88,0.19389587073608616
89,0.22471573907839618
90,0.2163375224416517
91,0.23099940155595453
92,0.2324955116696589
93,0.22501496110113706
94,0.21334530221424297
95,0.2223219628964692
96,0.2265110712148414
97,0.23040095751047276
98,0.22381807301017353
99,0.21364452423698385
