,taxa de acerto
0,0.20359281437125748
1,0.2215568862275449
2,0.22395209580838324
3,0.22395209580838324
4,0.21676646706586827
5,0.20718562874251498
6,0.20958083832335328
7,0.21676646706586827
8,0.24431137724550897
9,0.21437125748502994
10,0.20239520958083831
11,0.23592814371257484
12,0.2179640718562874
13,0.21077844311377245
14,0.20718562874251498
15,0.21077844311377245
16,0.21077844311377245
17,0.20838323353293414
18,0.21317365269461078
19,0.2407185628742515
20,0.23952095808383234
21,0.22275449101796407
22,0.22874251497005987
23,0.25868263473053893
24,0.2059880239520958
25,0.2275449101796407
26,0.21916167664670658
27,0.25868263473053893
28,0.23592814371257484
29,0.2311377245508982
30,0.23353293413173654
31,0.23233532934131737
32,0.22874251497005987
33,0.21317365269461078
34,0.17604790419161676
35,0.21916167664670658
36,0.20119760479041915
37,0.22994011976047904
38,0.19041916167664671
39,0.22035928143712574
40,0.22874251497005987
41,0.21676646706586827
42,0.23353293413173654
43,0.21676646706586827
44,0.2215568862275449
45,0.2215568862275449
46,0.21676646706586827
47,0.20359281437125748
48,0.21916167664670658
49,0.22395209580838324
50,0.22395209580838324
51,0.21437125748502994
52,0.20958083832335328
53,0.2275449101796407
54,0.22035928143712574
55,0.2251497005988024
56,0.2155688622754491
57,0.20838323353293414
58,0.20359281437125748
59,0.19520958083832335
60,0.21317365269461078
61,0.21317365269461078
62,0.2179640718562874
63,0.2059880239520958
64,0.2311377245508982
65,0.2215568862275449
66,0.2275449101796407
67,0.21916167664670658
68,0.2179640718562874
69,0.2119760479041916
70,0.21676646706586827
71,0.21916167664670658
72,0.22275449101796407
73,0.2311377245508982
74,0.21916167664670658
75,0.24790419161676647
76,0.2311377245508982
77,0.22994011976047904
78,0.21676646706586827
79,0.19401197604790418
80,0.25149700598802394
81,0.21317365269461078
82,0.20119760479041915
83,0.2275449101796407
84,0.19520958083832335
85,0.19161676646706588
86,0.23592814371257484
87,0.237125748502994
88,0.19760479041916168
89,0.20239520958083831
90,0.22275449101796407
91,0.21916167664670658
92,0.21077844311377245
93,0.2155688622754491
94,0.22035928143712574
95,0.25389221556886227
96,0.2119760479041916
97,0.2179640718562874
98,0.20119760479041915
99,0.18922155688622755
